HostFName	HostGName	HostSpName	HostSSpName	HostAuthorName
Malvaceae	Abutilon	andrewsianum		W.Fitzg.
Fabaceae	Acacia	andrewsii		W. Fitzg.
Fabaceae	Acacia	andrewsii		W.Fitzg.
Boraginaceae	Halgania	andromedifolia		Behr & F. Muell.
Proteaceae	Grevillea	anethifolia ?		R.Br.
Mimosaceae	Acacia	aneura		Benth.
Fabaceae	Acacia	aneura	var. aneura	F.Muell. ex Benth.
Mimosaceae	Acacia	aneura	var. pilbarana / tenuis	Benth.
Fabaceae	Acacia	aneura		F. Muell. ex Benth.
Mimosaceae	Acacia	aneura	var. tenuis (flat)	Benth.
Fabaceae	Acacia	aneura		Benth.
Mimosaceae	Acacia	aneura	var. pilbarana	Benth.
Fabaceae	Acacia	aneura	var. latifolia	F. Muell. ex Benth.
Fabaceae	Acacia	aneura		F.Muell. ex Benth.
Mimosaceae	Acacia	aneura	var. aneura	Benth.
Myrtaceae	Calytrix	angulata		Lindl.
Myrtaceae	Eucalyptus	angulosa		Schauer
Myrtaceae	Babingtonia	angusta		A.R. Bean
Chloanthaceae	Cyanostegia	angustifolia		Turcz.
Sapindaceae	Dodonaea	angustifolia		L.f.
Anacardiaceae	Searsia	angustifolia		(L.) F.A. Barkley
Fabaceae	Aspalathus	angustifolia	robusta	(Phill.) Dahlgren
Rubiaceae	Galium	angustifolium		Nutt. ex A. Gray
Sterculiaceae	Lasiopetalum	angustifolium		W.Fitzg.
Proteaceae	Grevillea	annulifera		F.Muell.
Capparaceae	Apophyllum	anomalum		F.Muell.
Goodeniaceae	Dampiera	anonyma		Lepschi & Trudgen
Fabaceae	Acacia	anthochaera		Maslin
Malvaceae	Tarasa	antofagastana		(Phil.) Krapov
Sapindaceae	Elattostachys	apetala		Radlk.
Rhamnaceae	Pomaderris	apetala		Labill.
Tamaricaceae	Tamarix	aphylla		(L.) Karst.
Santalaceae	Exocarpos	aphyllus		R. Br.
Santalaceae	Exocarpos	aphyllus		R.Br.
Rubiaceae	Opercularia	apiciflora		Juss.
Papilionaceae	Daviesia	apiculata		Crisp
Asteraceae	Chrysocephalum	apiculatum		(Labill.) Steetz.
Asteraceae	Chrysocephalum	apiculatum		(Labill.) Steetz
Asteraceae	Chrysocephalum	apiculatum/semipapposum complex		
Myrtaceae	Melaleuca	apodocephala	apodocephala ms	Turcz.
Scrophulariaceae	Castilleja	applegatei		Fern.
Sapindaceae	Harpullia	arborea		(Blanco) Radlk.
Malvaceae	Lavatera	arborea		L.
Fabaceae	Caragana	arborescens		Lam.
Fabaceae	Oxylobium	arborescens		R.Br.
Rosaceae	Heteromeles	arbutifolia		(Lindl.) M. Roemer
Myrtaceae	Eucalyptus	archeri		Maiden & Blakely
Cupressaceae	Diselma	archeri		Hook.f.
Dilleniaceae	Hibbertia	arcuata		J.R. Wheeler
Anacardiaceae	Schinus	areira		L.
Cupressaceae	Actinostrobus	arenarius		C.A. Gardner
Cupressaceae	Actinostrobus	arenarius		C.A.Gardner
Fabaceae	Jacksonia	arenicola		Chappill
Thymelaeaceae	Pimelea	argentea		R. Br.
Urticaceae	Pipturus	argenteus		(G.Forst.) Wedd.
Fabaceae	Lupinus	argenteus		Pursh
Asteraceae	Ozothamnus	argophyllus		(A. Cunn. ex DC.) Anderb.
Fabaceae	Dalea	argyrostachya		Hook & Arn.
Fabaceae	Jacksonia	arida		Chappill
Fabaceae-Faboideae	Crotalaria	aridicola		Domin
Papilionaceae	Gompholobium	aristatum		Benth.
Poaceae	Eriachne	aristidea		F. Muell.
Proteaceae	Dryandra	armata		R.Br.
Fabaceae	Senna	armata		(S. Watson) H. Irwin & Barneby
Proteaceae	Grevillea	armigera		Meisn.
Myrtaceae	Melaleuca	armillaris		(Sol. ex Gaertn.) Sm.
Fabaceae	Acacia	aroma		Gillies ex Hook & Arn.
Fabaceae	Acacia	aroma		Gillies ex Hook. & Arn.
Caesalpiniaceae	Senna	artemisioides	subsp. oligophylla	(Gaudich. ex DC.) Randell
Caesalpiniaceae	Senna	artemisioides	subsp. helmsii	(Symon) Randell
Fabaceae	Senna	artemisioides	oligophylla	(F.Muell.) Randell
Fabaceae	Senna	artemisioides	filifolia	Randell
Boraginaceae	Phacelia	artemisioides		Griseb.
Caesalpiniaceae	Senna	artemisioides	oligophylla	(F.Muell.) Randell
Caesalpiniaceae	Senna	artemisioides	subsp. oligophylla x helmsii	(Gaudich. ex DC.) Randell
Caesalpiniaceae	Senna	artemisioides	filifolia Randell	(DC.) Randell
Caesalpiniaceae	Senna	artemisioides		(DC.) Randell
Fabaceae	Senna	artemisioides	artemisioides	(DC.) Randell
Caesalpiniaceae	Senna	artemisioides	petiolaris	Randell
Caesalpiniaceae	Senna	artemisioides	subsp. helmsii	(Gaudich. ex DC.) Randell
Fabaceae	Senna	artemisioides	ssp. X coriacea	(DC.) Randell
