HostMNLUID	familyHostMNL	genusHostMNL	speciesHostMNL	subspeciesHostMNL	authorHostMNL	oldHOstAuthor	oldHOstFamily
10286	Fabaceae	Mimosa	sp.	no subspecies	none		Fabaceae
10339	Lauraceae	Cassytha	sp.	no subspecies	none		Lauraceae
10327	Myrtaceae	Scholtzia	sp.	no subspecies	none		Myrtaceae
11706	Cistaceae	Cistus	sp.	no subspecies	none		Cistaceae
11592	Aspleniaceae	Asplenium	sp.	no subspecies	none		Aspleniaceae
10595	Chenopodiaceae	Maireana	sp.	no subspecies	none		Chenopodiaceae
10672	Boraginaceae	Echium	sp.	no subspecies	none		Boraginaceae
10292	Fabaceae	Prosopis	sp.	no subspecies	none		Fabaceae
12947	Epacridaceae	Astroloma	sp.	no subspecies	none		Epacridaceae
10576	Myrtaceae	Calothamnus	sp.	no subspecies	none		Myrtaceae
10509	Pandaceae	Freycinetia	sp.	no subspecies	none		Pandanaceae
10358	Proteaceae	Grevillea	sp.	no subspecies	none		Proteaceae
10306	Solanaceae	Solanum	sp.	no subspecies	none		Solanaceae
10412	Onagraceae	Epilobium	sp.	no subspecies	none		Onagraceae
10335	Fabaceae	Genista	sp.	no subspecies	none		Fabaceae
10180	Pinaceae	Picea	sp.	no subspecies	none		Pinaceae
10325	Asteraceae	Olearia	sp.	no subspecies	none		Asteraceae
10905	Fabaceae	Astragalus	sp.	no subspecies	none		Fabaceae
10597	Fabaceae	Tephrosia	sp.	no subspecies	none		Fabaceae
10348	Scrophulariaceae	Eremophila	sp.	no subspecies	none	R.Br.	Myoporaceae
14261	Myoporaceae	Eremophila	sp.	no subspecies	none	R.Br.	Myoporaceae
10554	Papilionaceae	Mirbelia	sp.	no subspecies	none		Papilionaceae
10320	Aizoaceae	cf. Phyllobolus	sp.	no subspecies	none		Aizoaceae
10491	Malvaceae	Malva	sp.	no subspecies	none		Malvaceae
916	Salicaceae	Salix	sp.	no subspecies	none		Salicaceae
10265	Santalaceae	Phoradendron	sp.	no subspecies	none		Viscaceae
10332	Rhamnaceae	Spyridium	sp.	no subspecies	none		Rhamnaceae
10329	Cupressaceae	Callitris	sp.	no subspecies	none		Cupressaceae
7537	Cyperaceae	Lepidosperma	sp. (ng & mal 4907)	no subspecies	none		Cyperaceae
7503	Fabaceae	Acacia	sp. 1	no subspecies	none		Fabaceae
5896	Cupressaceae	Callitris	sp. emerald creek	no subspecies	none		Cupressaceae
5917	Myrtaceae	Thryptomene	sp. lancelin (m.e. trudgen 14000)	no subspecies	none		Myrtaceae
7102	Myrtaceae	Eucalyptus	sp. mallee saplings	no subspecies	none		Myrtaceae
4437	Cupressaceae	Callitris	sp. paluma	no subspecies	none		Cupressaceae
5736	Malvaceae	Sida	sp. spiciform panicles (e. leyland s.n. 14/8/90)	no subspecies	none		Malvaceae
12383	Myrtaceae	Agonis	spathulata	no subspecies	(Schauer) J.R.Wheeler & N.G.Marchant	Schauer	Myrtaceae
918	Asteraceae	Acamptopappus	sphaerocephalus	no subspecies	(Harv. & A. Gray ex A. Gray) A. Gray	(A. Gray) A. Gray	Asteraceae
9453	Poaceae	Pseudoroegneria	spicata	no subspecies	(Pursh) Á. Löve	(Pursh) A. Love	Poaceae
9811	Goodeniaceae	Scaevola	spinescens	no subspecies	R. Baker	R. Br.	Goodeniaceae
9811	Goodeniaceae	Scaevola	spinescens	no subspecies	R. Baker	R.Br.	Goodeniaceae
10934	Fabaceae	Aspalathus	spinosa	glauca	(Eckl. & Zeyh.) R. Dahlgren	L.	Fabaceae
2591	Proteaceae	Grevillea	stenobotrya	no subspecies	F. Muell.	F.Muell	Proteaceae
2592	Asteraceae	Tetradymia	stenolepis	no subspecies	Greene	E. Greene	Asteraceae
2596	Asteraceae	Leucochrysum	stipitatum	no subspecies	(F. Muell.) P.G. Wilson	(F. Muell.) Paul G. Wilson	Asteraceae
12479	Asteraceae	Polycalymma	stuartii	no subspecies	F.Muell. & Sond. ex Sond.	F. Muell. & Sond.	Asteraceae
12479	Asteraceae	Polycalymma	stuartii	no subspecies	F.Muell. & Sond. ex Sond.	F. Muell. & Sonder	Asteraceae
2607	Scrophulariaceae	Eremophila	sturtii	no subspecies	R. Br.		Myoporaceae
16140	Myoporaceae	Eremophila	sturtii	no subspecies	R. Br.		Myoporaceae
2616	Myrtaceae	Melaleuca	systena	no subspecies	Craven		Myrtaceae
7350	Solanaceae	Lycium	tenuispinosum	var. tenuispinosum	none		Solanaceae
2623	Asteraceae	Euryops	tenuissimus	no subspecies	(L.) DC	(L.) DC.	Asteraceae
2631	Fabaceae	Acacia	tetragonophylla	no subspecies	F. Muell.	F.Muell	Mimosaceae
2631	Fabaceae	Acacia	tetragonophylla	no subspecies	F. Muell.	F.Muell	Fabaceae
14467	Cyperaceae	Gahnia	trifida	no subspecies	(Labill.) Benth.	Labill.	Cyperaceae
12168	Asteraceae	Athanasia	trifurcata	no subspecies	L.	(L.) L.	Asteraceae
15434	Rutaceae	Phebalium	tuberculosum	no subspecies	L.	(F. Muell.) Benth.	Rutaceae
9232	Fabaceae	Acacia	umbellata	no subspecies	Benth.	A. Cunn. ex Benth.	Fabaceae-Mimosaceae
14229	Euphorbiaceae	Ricinocarpos	velutinus	no subspecies	F. Muell.	F.Muell	Euphorbiaceae
2667	Myrtaceae	Pileanthus	vernicosus	no subspecies	F. Muell.	F.Muell	Myrtaceae
2669	Cupressaceae	Callitris	verrucosa	no subspecies	(Endl.) F. Muell.	(A. Cunn. ex Endl.) F. Muell.	Cupressaceae
14136	Chenopodiaceae	Maireana	villosa	no subspecies	Paul G. Wilson	(Lindl.) Paul G. Wilson	Chenopodiaceae
13716	Myrtaceae	Melaleuca	viridiflora	no subspecies	C.F. Gaertn.		Myrtaceae
12953	Cleomaceae	Cleome	viscosa	no subspecies	L	L.	Cleomaceae
8775	Sapindaceae	Dodonaea	viscosa	no subspecies	Jacq.		Sapindaceae
2697	Sapindaceae	Dodonaea	viscosa	angustissima	J.G. West	Jacq.	Sapindaceae
2697	Sapindaceae	Dodonaea	viscosa	angustissima	J.G. West	(DC.) J.G. West	Sapindaceae
2697	Sapindaceae	Dodonaea	viscosa	angustissima	J.G. West	(DC.) J.G.West	Sapindaceae
964	Geraniaceae	Geranium	viscosissimum	no subspecies	Fisch. & C.A. Mey.	Fisch. & C.A. Mey. ex C.A. Mey.	Geraniaceae
11619	Asteraceae	Solidago	wrightii	no subspecies	A. Gray	Gray	Asteraceae
2690	Fagaceae	Quercus	x acutidens	no subspecies	Torr. (pro sp.) in Emory	Torr.	Fagaceae
1230	Fagaceae	Quercus	x alvordiana	no subspecies	Eastw.	Eastwood	Fagaceae
