FieldHostUID	ColEventUID	HostNumber	FieldIdent	FieldNotes	CreateDate	UpdateDate	CreatedBy	UpdatedBy	TripUID	HostF	HostG	HostSp	HostSSp	HostAuthor	HostDetBy	HerbID	history
1586	11108	H239	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	221	1754	2046	2874	3063	K Roux	voucher-NYBG	Geraniaceae;Pelargonium;cucullatum;x P. betulinum;(L.) L''Her.;K Roux;voucher-NYBG
1587	11108	H240	NULL	NULL	2006-01-09	2007-04-04	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1517	2126	0	3472	C Cupido	voucher-NYBG	Fabaceae;Aspalathus;excelsa;R. Dahlgren;C Cupido;voucher-NYBG
1588	11108	H241	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1523	2643	0	3061	J Manning	voucher-NYBG	Asteraceae;Athanasia;trifurcata;(L.) L.;J Manning;voucher-NYBG
1589	11108	H242	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	203	1621	2369	0	2892	NBG staff	voucher-NYBG	Ericaceae;Erica;muscosa;(Ait.) E.G. H.Oliver;NBG staff;voucher-NYBG
1590	11108	H244	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1811	2446	0	3068	J Manning	voucher-NYBG	Asteraceae;Stoebe;plumosa;(L.) Thunb.;J Manning;voucher-NYBG
1591	11108	H246	NULL	NULL	2006-01-09	2006-11-24	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1517	2551	0	3472	C Cupido	voucher-NYBG	Fabaceae;Aspalathus;serpens;R. Dahlgren;C Cupido;voucher-NYBG
1592	11108	H247	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	211	1517	2216	2724	3511	NBG staff	voucher-NYBG	Fabaceae;Aspalathus;hispida;hispida;Thurb.;NBG staff;voucher-NYBG
1593	11108	H248	NULL	NULL	2006-01-09	2007-04-04	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1778	916	0	0	C Cupido	voucher-NYBG	Fabaceae;Psoralea;sp.;C Cupido;voucher-NYBG
1594	11108	H249	NULL	NULL	2006-01-09	2007-04-04	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1517	2216	2724	3511	C Cupido	voucher-NYBG	Fabaceae;Aspalathus;hispida;hispida;Thurb.;C Cupido;voucher-NYBG
1595	11108	H250	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	1488	1729	2207	0	3049	K Roux	voucher-NYBG	Polygalacea;Muraltia;heisteria;(L.) DC.;K Roux;voucher-NYBG
1596	11108	H245	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	32	1753	2038	0	3328	K Roux	voucher-NYBG	Thymelaeaceae;Passerina;corymbosa;Eckl. ex C.H. Wright;K Roux;voucher-NYBG
1597	11109	H238	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	32	1753	1262	0	3531	K Roux	voucher-NYBG	Thymelaeaceae;Passerina;rigida;Wikstr.;K Roux;voucher-NYBG
1598	11109	H237	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	376	1512	1864	0	1007	K Roux	voucher-NYBG	Rosaceae;Anthospermum;aethiopicum;L.;K Roux;voucher-NYBG
1599	11109	H236	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1623	2487	0	1007	J Manning	voucher-NYBG	Asteraceae;Eriocephalus;racemosus;L.;J Manning;voucher-NYBG
1600	11110	H261	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	376	1512	2210	0	3403	K Roux	voucher-NYBG	Rosaceae;Anthospermum;herbaceum;L.f.;K Roux;voucher-NYBG
1601	11110	H260	NULL	NULL	2006-01-09	2007-04-04	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1751	0	0	0	C Cupido	voucher-NYBG	Fabaceae;Papilionoideae;C Cupido;voucher-NYBG
1602	11110	H259	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	370	1612	2668	0	3427	NBG staff	voucher-NYBG	Restionaceae;Elegia;verreauxii;Mast, (young plant);NBG staff;voucher-NYBG
1603	11110	H248	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	211	1778	916	0	0	NBG staff	voucher-NYBG	Fabaceae;Psoralea;sp.;NBG staff;voucher-NYBG
1604	11110	H239	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	221	1754	2046	2874	3063	K Roux	voucher-NYBG	Geraniaceae;Pelargonium;cucullatum;x P. betulinum;(L.) L''Her.;K Roux;voucher-NYBG
