FieldHostUID	ColEventUID	HostNumber	FieldIdent	FieldNotes	CreateDate	UpdateDate	CreatedBy	UpdatedBy	TripUID	HostF	HostG	HostSp	HostSSp	HostAuthor	HostDetBy	HerbID	history
30	10506	H001	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1589	2134	0	3485	P.G. Wilson 1996	NSW 395900	Myrtaceae;Darwinia;fascicularis;Rudge;P.G. Wilson 1996;NSW 395900
31	10508	H004	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1765	2432	0	3191	P.H. Weston 1996	NSW 395903	Fabaceae;Phyllota;phylicoides;(Sieber ex DC.) Benth.;P.H. Weston 1996;NSW 395903
32	10508	H005	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	187	1662	809	0	3467	B.J. Conn 1996	NSW 395904	Dilleniaceae;Hibbertia;linearis;R. Br. ex DC.;B.J. Conn 1996;NSW 395904
33	10508	H011	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	1483	1704	813	0	3405	K.L. Wilson 1997	NSW 395905	Lomandraceae;Lomandra;longifolia;Labill.;K.L. Wilson 1997;NSW 395905
34	10508	H012	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	1487	1592	1963	0	3499	R.G. Coveny 1996	NSW 395906	Phormiaceae;Dianella;caerulea;Sims;R.G. Coveny 1996;NSW 395906
35	10509	H002	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	396	2340	0	3303	B.J. Conn 1996	NSW 395901	Fabaceae;Acacia;mearnsii;De Wild. [introduced];B.J. Conn 1996;NSW 395901
36	10509	H003	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1684	642	0	3202	P.G. Wilson 1996	NSW 395902	Myrtaceae;Kunzea;ambigua;(Smith) Druce;P.G. Wilson 1996;NSW 395902
37	10510	H010	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	176	1637	2016	0	3271	R.G. Coveny 1996	NSW 395911	Cyperaceae;Gahnia;clarkei;Benl;R.G. Coveny 1996;NSW 395911
38	10511	H007	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	98	1750	2085	0	3235	J. Everett May 1996	NSW 395908	Asteraceae;Ozothamnus;diosmifolius;(Vent.) DC.;J. Everett May 1996;NSW 395908
39	10511	H006	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	94	1521	813	0	1159	B.M. Wiecek 1996	NSW 395907	Araliaceae;Astrotricha;longifolia;Benth.;B.M. Wiecek 1996;NSW 395907
40	10511	H008	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1717	2381	0	3204	P.G. Wilson 1996	NSW 395909	Myrtaceae;Melaleuca;nodosa;(Sol. ex Gaertner) Smith;P.G. Wilson 1996;NSW 395909
41	10512	H014	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	142	1502	2561	0	3404	R.G. Coveny 1996	NSW 395913	Casuarinaceae;Allocasuarina;simulans;L. Johnson;R.G. Coveny 1996;NSW 395913
42	10512	H015	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1717	2381	0	3204	P.G. Wilson 1996	NSW 395914	Myrtaceae;Melaleuca;nodosa;(Sol. ex Gaertner) Smith;P.G. Wilson 1996;NSW 395914
43	10513	H013	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	98	1750	2085	0	3235	J. Everett May 1996	NSW 395912	Asteraceae;Ozothamnus;diosmifolius;(Vent.) DC.;J. Everett May 1996;NSW 395912
44	10514	H016	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	63	1550	2501	0	3465	K.D. Hill 1996	NSW 395915	Cupressaceae;Callitris;rhomboidea;R. Br. ex A. Rich. & Rich.;K.D. Hill 1996;NSW 395915
45	10518	H021	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	142	1563	2050	2708	3434	R.G. Coveny 1996	NSW 395920	Casuarinaceae;Casuarina;cunninghamiana;subsp. cunninghamiana;Miq.;R.G. Coveny 1996;NSW 395920
46	10518	H022	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	325	1738	2348	0	3464	K.D. Hill 1996	NSW 395921	Oleaceae;Notelaea;microcarpa;R. Br.;K.D. Hill 1996;NSW 395921
47	10518	H024	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	18	1544	2457	0	3184	B.J. Conn 1996	NSW 395923	Sterculiaceae;Brachychiton;populneus;(Schott & Endl.) R. Br.;B.J. Conn 1996;NSW 395923
48	10518	H019	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	45	614	2241	0	3460	B.J. Conn 1996	NSW 395918	Urticaceae;Urtica;incisa;Poir.;B.J. Conn 1996;NSW 395918
49	10518	H023	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	280	1591	2682	0	2981	B.M. Wiecek 1996	NSW 395922	Loranthaceae;Dendrophthoe;vitellina;(F. Muell.) Tieghem;B.M. Wiecek 1996;NSW 395922
50	10518	H020	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	280	1506	1970	0	2915	B.M. Wiecek 1996	NSW 395919	Loranthaceae;Amyema;cambagei;(Blakely) Danser;B.M. Wiecek 1996;NSW 395919
51	10520	H017	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1696	1955	0	3333	P.G. Wilson 1996	NSW 395916	Myrtaceae;Leptospermum;brevipes;F. Muell.;P.G. Wilson 1996;NSW 395916
52	10521	H018	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	32	1769	2312	2706	3164	D.C. Godden 1996	NSW 395917	Thymelaeaceae;Pimelea;linifolia;collina;(R. Br.) Threlfall;D.C. Godden 1996;NSW 395917
53	10522	H025	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	85	1794	1904	0	1007	P.G. Wilson 1996	NSW 395924	Anacardiaceae;Schinus;areira;L.;P.G. Wilson 1996;NSW 395924
54	10522	H026	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	90	1503	706	0	3333	K.D. Hill 1996	NSW 395925	Apocynaceae;Alstonia;constricta;F. Muell.;K.D. Hill 1996;NSW 395925
55	10522	H027	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	142	1563	2050	2708	3434	R.G. Coveny 1996	NSW 395926	Casuarinaceae;Casuarina;cunninghamiana;subsp. cunninghamiana;Miq.;R.G. Coveny 1996;NSW 395926
56	10522	H028	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	377	1556	2390	0	3006	K.D. Hill 1996	NSW 395927	Rubiaceae;Canthium;odoratum;(G. Forster) Seem.;K.D. Hill 1996;NSW 395927
57	10523	H031	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	1483	1704	813	0	3405	K.L. Wilson 1997	NSW 395930	Lomandraceae;Lomandra;longifolia;Labill.;K.L. Wilson 1997;NSW 395930
58	10525	H030	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	280	1591	2682	0	2981	B.M. Wiecek 1996	NSW 395929	Loranthaceae;Dendrophthoe;vitellina;(F. Muell.) Tieghem;B.M. Wiecek 1996;NSW 395929
59	10525	H029	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	280	1506	2357	0	3102	B.M. Wiecek 1996	NSW 395928	Loranthaceae;Amyema;miquelii;(Lehm. ex Miq.) Tieghem;B.M. Wiecek 1996;NSW 395928
60	10526	H034	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	142	1563	2050	2708	3434	R.G. Coveny 1996	NSW 395933	Casuarinaceae;Casuarina;cunninghamiana;subsp. cunninghamiana;Miq.;R.G. Coveny 1996;NSW 395933
61	10526	H035	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	280	1506	1970	0	2915	B.M. Wiecek 1996	NSW 395934	Loranthaceae;Amyema;cambagei;(Blakely) Danser;B.M. Wiecek 1996;NSW 395934
62	10526	H036	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	264	1714	965	0	1007	B.J. Conn 1996	NSW 395935	Lamiaceae;Marrubium;vulgare;L.;B.J. Conn 1996;NSW 395935
63	10527	H033	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	55	1845	2260	0	3254	K.L. Wilson 1997	NSW 395932	Xanthorrhoeaceae;Xanthorrhoea;johnsonii;A.T. Lee;K.L. Wilson 1997;NSW 395932
64	10527	H032	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1554	2629	0	3405	Peter G. Wilson 1996	NSW 395931	Myrtaceae;Calytrix;tetragona;Labill.;Peter G. Wilson 1996;NSW 395931
65	10528	H046	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	176	1540	2341	0	3233	R.G. Coveny 1996	NSW 395945	Cyperaceae;Bolboschoenus;medianus;(V. Cook) Sojak;R.G. Coveny 1996;NSW 395945
66	10529	H039	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	396	2068	0	3168	B.J. Conn 1996	NSW 395938	Fabaceae;Acacia;deanei;(R.T. Baker) Welch, Coombs & McGlynn;B.J. Conn 1996;NSW 395938
67	10530	H037	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	307	1619	2358	0	1159	J. Everett 1996	NSW 395936	Myoporaceae;Eremophila;mitchellii;Benth.;J. Everett 1996;NSW 395936
68	10530	H038	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	396	2398	0	3333	B.J. Conn 1996	NSW 395937	Fabaceae;Acacia;oswaldii;F. Muell.;B.J. Conn 1996;NSW 395937
69	10531	H045	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	280	1506	1970	0	2915	B.M. Wiecek 1996	NSW 395944	Loranthaceae;Amyema;cambagei;(Blakely) Danser;B.M. Wiecek 1996;NSW 395944
70	10531	H042	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	396	2423	0	3245	B.J. Conn 1996	NSW 395941	Fabaceae;Acacia;pendula;A. Cunn. ex G. Don;B.J. Conn 1996;NSW 395941
71	10531	H040	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	379	1632	2332	0	3111	P.H. Weston 1996	NSW 395939	Rutaceae;Flindersia;maculosa;(Lindley) Benth.;P.H. Weston 1996;NSW 395939
72	10531	H043	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	280	1506	2483	0	3112	B.M. Wiecek 1996	NSW 395942	Loranthaceae;Amyema;quandang;(Lindley) Tieghem;B.M. Wiecek 1996;NSW 395942
73	10531	H041	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	280	1506	2325	0	2915	B.M. Wiecek 1996	NSW 395940	Loranthaceae;Amyema;lucasii;(Blakely) Danser;B.M. Wiecek 1996;NSW 395940
74	10531	H044	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	142	1563	715	0	3434	R.G. Coveny 1996	NSW 395943	Casuarinaceae;Casuarina;cristata;Miq.;R.G. Coveny 1996;NSW 395943
75	10532	H047	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	307	1619	2607	0	3464	J. Everett 1996	NSW 395946	Myoporaceae;Eremophila;sturtii;R. Br.;J. Everett 1996;NSW 395946
76	10533	H049	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	142	1563	2417	0	3345	R.G. Coveny 1996	NSW 395948	Casuarinaceae;Casuarina;pauper;F. Muell. ex L. Johnson;R.G. Coveny 1996;NSW 395948
77	10534	H050	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	142	1563	2417	0	3345	R.G. Coveny 1996	NSW 395949	Casuarinaceae;Casuarina;pauper;F. Muell. ex L. Johnson;R.G. Coveny 1996;NSW 395949
78	10534	H051A	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	307	1619	2099	0	3333	J. Everett 1996	NSW 398422	Myoporaceae;Eremophila;duttonii;F. Muell.;J. Everett 1996;NSW 398422
79	10534	H052A	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	396	1888	0	3335	B.J. Conn 1996	NSW 395951	Fabaceae;Acacia;aneura;F. Muell. ex Benth.;B.J. Conn 1996;NSW 395951
80	10535	H048	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	396	1888	0	3335	B.J. Conn 1996	NSW 395947	Fabaceae;Acacia;aneura;F. Muell. ex Benth.;B.J. Conn 1996;NSW 395947
81	10537	H051B	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	280	1506	2325	0	2915	B.M. Wiecek 1996	NSW 395950	Loranthaceae;Amyema;lucasii;(Blakely) Danser;B.M. Wiecek 1996;NSW 395950
82	10539	H055	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1624	2280	0	3340	K.D. Hill 1996	NSW 395954	Myrtaceae;Eucalyptus;largiflorens;F.Muell.;K.D. Hill 1996;NSW 395954
83	10539	H054	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	9	1802	2265	0	3508	P.G. Wilson 1996	NSW 395953	Solanaceae;Solanum;karsense;Symon;P.G. Wilson 1996;NSW 395953
84	10539	H052B	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	176	1587	2198	0	3505	R.G. Coveny 1996	NSW 398701	Cyperaceae;Cyperus;gymnocaulos;Steud.;R.G. Coveny 1996;NSW 398701
85	10539	H053	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	98	1774	2605	0	3334	J. Everett 1996	NSW 395952	Asteraceae;Polycalymma;stuartii;F. Muell. & Sonder;J. Everett 1996;NSW 395952
86	10540	H056	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	149	1833	0	0	0	R.T. Schuh	NSW 395955	Chenopodiaceae;Undetermined;R.T. Schuh;NSW 395955
87	10540	H057	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	1490	1833	0	0	0		NSW 395956	Undetermined;Undetermined;;NSW 395956
88	10540	H058	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1624	2458	0	3336	K.D. Hill 1996	NSW 395957	Myrtaceae;Eucalyptus;porosa;F. Muell. ex Miq.;K.D. Hill 1996;NSW 395957
89	10541	H060	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	396	2340	0	3303	B.J. Conn 1996	NSW 395959	Fabaceae;Acacia;mearnsii;De Wild. [introduced];B.J. Conn 1996;NSW 395959
90	10542	H059	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	396	1965	0	3507	B.J. Conn 1996	NSW 395958	Fabaceae;Acacia;calamifolia;Sweet ex Lindl.;B.J. Conn 1996;NSW 395958
91	10543	H061	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	63	1550	2184	0	0	K.D. Hill 1996	NSW 395960	Cupressaceae;Callitris;glaucophylla or gracilis;K.D. Hill 1996;NSW 395960
92	10544	H066	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	385	1603	1173	0	1386	P.G. Wilson 1996	NSW 395965	Sapindaceae;Dodonaea;viscosa;Jacq.;P.G. Wilson 1996;NSW 395965
93	10544	H065	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	396	2410	0	3300	B.J. Conn 1996	NSW 395964	Fabaceae;Acacia;paradoxa;DC.;B.J. Conn 1996;NSW 395964
94	10544	H062	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1596	2216	0	1346	P.H. Weston 1996	NSW 395961	Fabaceae;Dillwynia;hispida;Lindley;P.H. Weston 1996;NSW 395961
95	10544	H064	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	362	1648	2289	0	3495	P.H. Weston 1996	NSW 395963	Proteaceae;Grevillea;lavandulacea;Schlechtd.;P.H. Weston 1996;NSW 395963
96	10544	H063	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	187	1662	2548	0	3148	B.J. Conn 1996	NSW 395962	Dilleniaceae;Hibbertia;sericea;(R. Br. ex DC.) Benth.;B.J. Conn 1996;NSW 395962
97	10546	H068	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	142	1563	2417	0	3345	R.G. Coveny 1996	NSW 395967	Casuarinaceae;Casuarina;pauper;F. Muell. ex L. Johnson;R.G. Coveny 1996;NSW 395967
98	10547	H072	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1624	2565	0	3336	K.D. Hill 1996	NSW 395971	Myrtaceae;Eucalyptus;socialis;F. Muell. ex Miq.;K.D. Hill 1996;NSW 395971
99	10548	H069	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	384	1628	1895	0	3464	B.M. Wiecek 1996	NSW 395968	Santalaceae;Exocarpos;aphyllus;R. Br.;B.M. Wiecek 1996;NSW 395968
100	10548	H070	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	142	1563	715	0	3434	G. Cassis 1995		Casuarinaceae;Casuarina;cristata;Miq.;G. Cassis 1995;
101	10548	H071	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	385	1501	2392	0	2945	G. Cassis 1998		Sapindaceae;Alectryon;oleifolius;(Desf) S. Reyn.;G. Cassis 1998;
102	10549	H067	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	1485	1737	1939	0	3300	R.G. Coveny 1996	NSW 395966	Nitrariaceae;Nitraria;billardierei;DC.;R.G. Coveny 1996;NSW 395966
103	10550	H078	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	307	1730	2440	0	3464	J. Everett 1996	NSW 395977	Myoporaceae;Myoporum;platycarpum;R. Br.;J. Everett 1996;NSW 395977
104	10550	H077	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	307	1619	2607	0	3464	J. Everett 1996	NSW 395976	Myoporaceae;Eremophila;sturtii;R. Br.;J. Everett 1996;NSW 395976
105	10550	H076	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	280	1506	2343	0	3127	B.M. Wiecek 1996	NSW 395975	Loranthaceae;Amyema;melaleucae;(Miq.) Tieghem;B.M. Wiecek 1996;NSW 395975
106	10551	H073	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	149	1833	0	0	0	R.T. Schuh	NSW 395972	Chenopodiaceae;Undetermined;R.T. Schuh;NSW 395972
107	10551	H074	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	362	1652	2301	0	3464	P.H. Weston 1996	NSW 395973	Proteaceae;Hakea;leucoptera;R. Br.;P.H. Weston 1996;NSW 395973
108	10552	H075	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1353	1912	2758	2940	B.M. Wiecek 1996	NSW 395974	Fabaceae;Senna;artemisioides;ssp. X coriacea;(DC.) Randell;B.M. Wiecek 1996;NSW 395974
109	10553	H084	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	396	1856	0	3413	B.J. Conn 1996	NSW 395983	Fabaceae;Acacia;acinacea;Lindl.;B.J. Conn 1996;NSW 395983
110	10553	H086	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1717	2686	0	3333	P.G. Wilson 1996	NSW 395985	Myrtaceae;Melaleuca;wilsonii;F. Muell.;P.G. Wilson 1996;NSW 395985
111	10553	H085	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	201	1545	2066	0	3201	E.A. Brown 1996	NSW 395984	Epacridaceae;Brachyloma;daphnoides;(Smith) Benth.;E.A. Brown 1996;NSW 395984
112	10554	H080	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	55	1845	1926	0	3464	K.L. Wilson 1997	NSW 395979	Xanthorrhoeaceae;Xanthorrhoea;australis;R. Br.;K.L. Wilson 1997;NSW 395979
113	10554	H082	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1784	2622	0	3468	P.H. Weston 1996	NSW 395981	Fabaceae;Pultenaea;tenuifolia;R. Br. ex Sims;P.H. Weston 1996;NSW 395981
114	10554	H081	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1624	2039	2739	3270	K.D. Hill 1996	NSW 395980	Myrtaceae;Eucalyptus;costata;murrayana;Behr. & F. Muell. ex F. Muell.;K.D. Hill 1996;NSW 395980
115	10554	H083	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	362	1652	2366	0	3375	P.H. Weston 1996	NSW 395982	Proteaceae;Hakea;muelleriana;J. Black;P.H. Weston 1996;NSW 395982
116	10555	H079	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	55	1845	2547	2753	3333	K.L. Wilson 1997	NSW 395978	Xanthorrhoeaceae;Xanthorrhoea;semiplana;semiplana;F. Muell.;K.L. Wilson 1997;NSW 395978
117	10556	H089	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1717	2686	0	3333	P.G. Wilson 1996	NSW 395989	Myrtaceae;Melaleuca;wilsonii;F. Muell.;P.G. Wilson 1996;NSW 395989
118	10557	H087	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1722	2011	0	3202	P.G. Wilson 1996	NSW 395986	Myrtaceae;Micromyrtus;ciliata;(Smith) Druce;P.G. Wilson 1996;NSW 395986
119	10558	H088	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1784	2622	0	3468	P.H. Weston 1996	NSW 395987	Fabaceae;Pultenaea;tenuifolia;R. Br. ex Sims;P.H. Weston 1996;NSW 395987
120	10558	H090	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1554	2629	0	3405	P.G. Wilson 1996	NSW 395988	Myrtaceae;Calytrix;tetragona;Labill.;P.G. Wilson 1996;NSW 395988
121	10559	H091	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	142	1502	2329	2876	3398	R.G. Coveny 1996	NSW 395990	Casuarinaceae;Allocasuarina;mackliniana;xerophila;L.A.S. Johnson;R.G. Coveny 1996;NSW 395990
122	10560	H093	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	396	2670	2871	3104	B.J. Conn 1996	NSW 395992	Fabaceae;Acacia;verticillata;var. verticillata;(L''Her.) Willd.;B.J. Conn 1996;NSW 395992
123	10561	H092	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	55	1845	2355	2733	3464	K.L. Wilson 1997	NSW 395991	Xanthorrhoeaceae;Xanthorrhoea;minor;lutea;R. Br.;K.L. Wilson 1997;NSW 395991
124	10562	H096	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	55	1845	2496	0	3205	K.L. Wilson 1997	NSW 395995	Xanthorrhoeaceae;Xanthorrhoea;resinifera;(Sol. ex Kite) E.C. Nelson & D.J. Bedford;K.L. Wilson 1997;NSW 395995
125	10563	H094	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	396	2340	0	3303	B.J. Conn 1996	NSW 395993	Fabaceae;Acacia;mearnsii;De Wild. [introduced];B.J. Conn 1996;NSW 395993
126	10564	H095	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1784	2217	0	3466	P.H. Weston 1996	NSW 395994	Fabaceae;Pultenaea;hispidula;R. Br. ex Benth.;P.H. Weston 1996;NSW 395994
127	10565	H098	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	142	1502	2317	0	3180	R.G. Coveny 1996	NSW 395997	Casuarinaceae;Allocasuarina;littoralis;(Salisb.) L. Johnson;R.G. Coveny 1996;NSW 395997
